ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,GOOD_REPUTATION
5008862,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
5008863,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-1,0,1
5008864,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
5008865,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-7,0,1
5008866,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-18,0,1
5008867,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-22,X,1
5112846,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-15,C,1
5008868,F,0,1,1,6,5,2,3,5,4,0,1,0,0,0,Core staff,3.0,0,0,1
5008870,F,0,1,1,6,5,2,3,5,4,0,1,0,0,0,Core staff,3.0,-9,0,1
5008872,M,1,1,0,9,3,2,3,5,4,0,1,0,1,0,Security staff,2.0,0,0,0
5008873,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008874,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008875,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008876,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008877,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008878,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,-32,1,0
5008879,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008880,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008881,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,0,C,1
5008882,F,0,1,2,2,3,4,3,5,7,4,1,0,0,1,Managers,4.0,-6,C,1
5008884,F,0,1,0,8,3,2,2,5,2,8,1,0,0,0,UNKOWN,1.0,0,C,1
5008888,F,0,1,0,7,3,4,2,1,4,5,1,0,0,0,Core staff,1.0,-6,X,1
5008889,F,0,1,0,7,3,4,2,1,4,5,1,0,0,0,Core staff,1.0,0,0,1
5008890,F,0,1,0,7,3,4,2,1,4,5,1,0,0,0,Core staff,1.0,-43,X,1
5112847,F,0,1,0,7,3,4,2,1,4,5,1,0,0,0,Core staff,1.0,-20,X,1
5008891,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008892,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-22,C,1
5008893,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008894,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008895,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008896,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-19,C,1
5008897,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-17,C,1
5008898,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-11,C,1
5008899,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-15,C,1
5008900,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-9,C,1
5008901,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-12,C,1
5008902,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-7,C,0
5008903,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-12,C,1
5008904,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-6,C,0
5008905,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-10,C,1
5008906,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-4,C,0
5008907,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-8,C,1
5008908,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-2,C,0
5008909,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-7,C,1
5008910,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-1,C,0
5008911,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-6,C,1
5008912,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008913,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-4,C,1
5008914,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008915,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-3,C,1
5008916,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008917,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,-2,C,1
5008918,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008919,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008920,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008921,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008922,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,0
5008923,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008924,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008925,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008926,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,0,0
5008927,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008928,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,1,0
5008929,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008930,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,0,1
5008931,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008932,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,0,1
5008933,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008934,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008935,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008936,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008937,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008938,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008939,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008940,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008941,F,0,1,0,8,3,2,1,1,5,2,1,0,0,0,Laborers,1.0,0,C,1
5008942,F,0,0,0,4,3,4,3,5,6,1,1,0,1,0,High skill tech staff,2.0,-28,X,0
5008943,F,0,0,0,4,3,4,3,5,6,1,1,0,1,0,High skill tech staff,2.0,0,X,1
5008944,F,0,0,0,4,3,4,3,5,6,1,1,0,1,0,High skill tech staff,2.0,-8,X,0
5008945,F,0,0,0,4,3,4,3,5,6,1,1,0,1,0,High skill tech staff,2.0,-15,X,0
5008946,F,0,0,0,4,3,4,3,5,6,1,1,0,1,0,High skill tech staff,2.0,-33,X,0
5008947,M,0,1,0,2,5,2,3,5,5,5,1,1,1,0,Drivers,2.0,0,X,1
5008948,M,0,1,0,2,5,2,3,5,5,5,1,1,1,0,Drivers,2.0,-5,X,1
5008949,M,0,1,0,2,5,2,3,5,5,5,1,1,1,0,Drivers,2.0,0,X,1
5008950,M,0,1,0,2,5,2,3,5,5,5,1,1,1,0,Drivers,2.0,0,X,1
5008951,M,0,1,1,7,5,2,3,5,9,2,1,0,0,0,UNKOWN,3.0,0,C,1
5008952,M,0,1,1,7,5,2,3,5,9,2,1,0,0,0,UNKOWN,3.0,-9,X,1
5008953,M,0,1,1,7,5,2,3,5,9,2,1,0,0,0,UNKOWN,3.0,0,X,1
5008954,M,0,1,1,7,5,2,3,5,9,2,1,0,0,0,UNKOWN,3.0,0,0,1
5008955,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,0,1
5008956,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
5008957,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,-12,C,1
5008958,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,0,1
5008959,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
5008960,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
5008962,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
5008963,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
5008966,M,0,1,0,4,5,2,3,5,4,6,1,0,1,0,UNKOWN,2.0,0,0,0
5008967,M,0,1,0,4,5,2,3,5,4,6,1,0,1,0,UNKOWN,2.0,0,0,1
5008971,M,0,1,0,4,5,2,3,5,4,6,1,0,1,0,UNKOWN,2.0,-51,0,1
5008973,M,0,1,0,4,5,2,3,5,4,6,1,0,1,0,UNKOWN,2.0,0,0,1
5008974,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,-47,0,1
5008975,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,-28,X,0
5008976,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,0,0,1
5008977,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,0,0,1
5008978,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,-17,X,0
5008979,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,0,C,1
5008980,F,0,1,0,1,3,2,3,5,0,8,1,0,0,0,UNKOWN,2.0,-8,C,1
5008981,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,0,X,1
5008983,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,-47,X,1
5008984,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,0,C,1
5008986,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,0,X,1
5008987,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,0,C,1
5008988,M,1,1,0,1,5,2,3,5,1,3,1,0,1,0,Drivers,2.0,0,X,1
5008991,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,-2,X,1
5008992,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,0,C,1
5008993,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,0,0,1
5008994,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,0,0,1
5008995,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,-10,X,1
5112861,F,1,1,0,8,5,2,2,5,4,5,1,1,1,0,Cleaning staff,1.0,-2,X,1
5008998,F,1,1,0,8,5,4,3,5,8,6,1,0,0,1,Managers,2.0,-1,X,1
5008999,F,1,1,0,8,5,4,3,5,8,6,1,0,0,1,Managers,2.0,-21,X,1
5009000,M,1,1,0,4,5,2,3,5,9,6,1,0,0,0,Drivers,2.0,0,C,1
5009001,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-34,X,1
5009002,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-38,X,1
5009005,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-29,X,1
5009006,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-35,X,1
5009007,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-49,X,1
5009008,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-3,X,1
5009009,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-22,X,1
5009010,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-6,X,1
5009012,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,0,0,1
5009014,M,0,1,0,5,5,2,3,5,2,0,1,1,1,0,Laborers,2.0,-29,X,1
5009016,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,0,C,1
5009018,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,-31,C,1
5009019,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,0,0,1
5009020,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,-8,C,1
5009022,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,-2,C,1
5009023,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,0,C,1
5009024,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,0,C,1
5009025,F,0,1,2,6,5,4,3,5,5,2,1,0,0,1,UNKOWN,4.0,0,C,1
5009027,F,1,1,0,8,3,2,3,5,2,0,1,0,0,1,Laborers,2.0,0,0,1
5112862,F,1,1,0,8,3,2,3,5,2,0,1,0,0,1,Laborers,2.0,-12,C,1
5009028,F,1,1,0,7,3,2,3,5,5,2,1,0,0,0,Laborers,2.0,-7,X,0
5009029,F,1,1,0,7,3,2,3,5,5,2,1,0,0,0,Laborers,2.0,0,C,1
5009031,F,0,1,0,8,5,2,1,5,8,5,1,0,0,0,Accountants,1.0,0,C,1
5009032,F,0,1,0,8,5,2,1,5,8,5,1,0,0,0,Accountants,1.0,0,C,1
5009033,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,0,X,1
5009034,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,-14,C,1
5009035,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,0,X,1
5009036,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,0,C,1
5009037,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,0,X,1
5009038,F,0,0,0,8,3,3,3,1,2,8,1,0,0,0,UNKOWN,2.0,0,X,1
5009039,F,0,1,2,4,5,2,1,5,6,7,1,0,0,0,Core staff,3.0,0,C,1
5009040,F,0,1,2,4,5,2,1,5,6,7,1,0,0,0,Core staff,3.0,0,C,1
5009042,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,0,X,1
5009043,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,-2,X,1
5009044,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,-4,X,0
5009045,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,-3,X,0
5009046,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,0,0,1
5009047,F,0,1,0,4,5,4,3,5,3,6,1,0,0,0,Core staff,2.0,0,0,1
5009050,F,0,1,2,6,5,4,3,5,8,3,1,0,0,1,Core staff,4.0,-21,C,1
5009051,F,0,1,2,6,5,4,3,5,8,3,1,0,0,1,Core staff,4.0,-14,C,0
5009052,F,0,1,2,6,5,4,3,5,8,3,1,0,0,1,Core staff,4.0,0,C,1
5009053,F,0,1,2,6,5,4,3,5,8,3,1,0,0,1,Core staff,4.0,-38,C,1
5009055,F,0,1,2,6,5,4,3,5,8,3,1,0,0,1,Core staff,4.0,-42,X,1
5009056,M,0,1,0,6,5,2,1,5,9,6,1,1,0,0,Drivers,1.0,-15,0,1
5009057,M,0,1,0,6,5,2,1,5,9,6,1,1,0,0,Drivers,1.0,0,0,1
5009058,F,1,1,0,1,3,2,1,5,9,6,1,0,1,1,Private service staff,1.0,0,X,1
5009060,F,0,1,0,1,3,4,3,5,0,8,1,0,1,0,UNKOWN,2.0,0,0,1
5009062,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,-8,C,1
5009063,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,C,1
5009064,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,X,1
5009065,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,X,1
5009066,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,0,1
5009067,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,-32,X,1
5009068,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,C,1
5009069,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,0,C,1
5009070,M,1,1,0,8,5,2,3,5,9,4,1,0,0,0,Sales staff,2.0,-2,C,1
5009071,F,1,1,0,8,3,3,3,4,9,2,1,0,1,1,High skill tech staff,2.0,0,C,1
5009072,F,1,1,0,8,3,3,3,4,9,2,1,0,1,1,High skill tech staff,2.0,-20,C,1
5009074,F,1,1,1,9,5,4,3,5,3,6,1,0,1,1,Core staff,3.0,0,0,1
5009075,F,1,1,1,9,5,4,3,5,3,6,1,0,1,1,Core staff,3.0,-5,X,1
5009078,M,0,1,1,5,5,2,3,0,6,5,1,0,0,0,Drivers,3.0,0,C,1
5009079,F,0,1,0,1,5,4,3,5,9,2,1,0,0,1,Laborers,2.0,0,C,1
5009080,F,0,1,0,1,5,4,3,5,9,2,1,0,0,1,Laborers,2.0,0,C,0
5009081,F,0,1,0,1,5,4,3,5,9,2,1,0,0,1,Laborers,2.0,-3,X,1
5009083,M,0,1,0,0,5,2,3,5,1,0,1,0,0,0,Drivers,2.0,-4,C,1
5009084,M,0,1,0,0,5,2,3,5,1,0,1,0,0,0,Drivers,2.0,0,0,1
5009088,M,1,0,2,6,3,4,3,5,5,2,1,0,0,0,Laborers,4.0,-6,X,1
5009089,M,1,0,2,6,3,4,3,5,5,2,1,0,0,0,Laborers,4.0,0,0,1
5009090,M,1,1,0,7,5,2,3,5,7,1,1,0,0,0,Drivers,2.0,0,0,1
5009092,M,1,1,1,9,5,4,3,5,7,5,1,1,0,0,Managers,3.0,0,1,0
5009094,M,1,1,1,9,5,4,3,5,7,5,1,1,0,0,Managers,3.0,0,0,1
5009095,M,1,1,1,9,5,4,3,5,7,5,1,1,0,0,Managers,3.0,0,0,1
5009096,F,0,1,1,8,3,2,3,5,6,1,1,0,0,1,Accountants,3.0,0,C,1
5009097,F,0,1,1,8,3,2,3,5,6,1,1,0,0,1,Accountants,3.0,-19,X,1
5009098,F,0,1,1,8,3,2,3,5,6,1,1,0,0,1,Accountants,3.0,0,C,1
5009099,F,0,1,0,8,5,4,2,5,6,7,1,0,0,0,Managers,1.0,-28,X,1
5009100,F,0,1,0,8,5,4,2,5,6,7,1,0,0,0,Managers,1.0,0,X,1
5009103,M,1,1,2,4,5,2,3,0,7,1,1,0,1,0,Drivers,4.0,0,C,1
5009104,M,1,1,2,4,5,2,3,0,7,1,1,0,1,0,Drivers,4.0,0,X,1
5009105,M,1,1,2,4,5,2,3,0,7,1,1,0,1,0,Drivers,4.0,0,X,1
5009106,M,1,1,2,4,5,2,3,0,7,1,1,0,1,0,Drivers,4.0,0,X,1
5112876,M,1,1,2,4,5,2,3,0,7,1,1,0,1,0,Drivers,4.0,0,C,1
5009108,M,0,1,0,9,3,2,3,5,5,3,1,0,0,0,Security staff,2.0,0,0,1
5009109,M,0,1,0,9,3,2,3,5,5,3,1,0,0,0,Security staff,2.0,0,C,1
5009110,F,0,1,0,1,3,4,3,5,9,7,1,0,0,1,High skill tech staff,2.0,0,0,0
5009116,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-23,C,1
5009117,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
5009118,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-31,C,1
5009120,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-44,C,1
5009122,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-37,C,1
5009123,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
5009124,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-13,C,1
5009125,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
5009126,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-23,C,1
5009127,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
5009128,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,-2,C,1
5009129,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
5009130,F,0,0,0,4,3,4,2,0,4,7,1,0,0,0,UNKOWN,1.0,0,C,1
