,Unnamed: 0,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,SAFE
23,648032,5125661,F,0,0,0,0,5,2,3,5,3,1,1,1,1,0,Core staff,2.0,-1,C,1
24,133518,5029415,F,0,1,1,8,5,2,3,5,8,3,1,0,0,1,Core staff,3.0,-4,0,1
25,373617,5067899,F,0,1,0,8,3,2,3,5,1,8,1,0,1,0,,2.0,-3,C,1
26,746351,5148911,M,1,0,2,7,3,2,3,5,5,1,1,0,0,0,,4.0,0,C,1
27,438387,5089847,F,0,1,1,7,3,2,3,5,4,4,1,0,1,1,Core staff,3.0,0,C,1
28,762766,5149881,F,1,1,1,9,3,4,3,5,3,7,1,0,1,0,Managers,3.0,-8,0,1
29,469261,5091761,F,0,0,0,4,3,2,3,5,5,5,1,0,0,0,Laborers,2.0,0,C,1
30,610496,5116567,F,0,1,1,5,5,2,3,5,8,1,1,1,1,0,Sales staff,3.0,0,C,1
31,109090,5025876,F,0,1,1,2,5,2,3,5,7,8,1,0,0,0,Sales staff,3.0,-46,X,1
32,198639,5041825,F,1,0,0,1,5,2,3,4,3,6,1,0,1,0,Sales staff,2.0,0,C,1
33,23659,5010208,F,0,1,0,2,3,4,3,5,6,1,1,0,0,1,Core staff,2.0,0,C,1
34,741541,5148624,F,0,1,0,1,3,2,1,5,0,8,1,0,0,0,,1.0,0,X,1
35,502935,5096373,F,1,0,0,6,5,4,3,5,5,1,1,1,1,0,HR staff,2.0,0,C,1
36,289903,5054536,F,0,1,0,6,5,2,3,5,4,3,1,1,0,0,Accountants,2.0,0,C,1
37,20748,5010039,F,0,1,0,8,3,2,3,5,1,8,1,0,0,0,,2.0,0,0,1
38,133331,5029401,F,0,0,0,1,3,2,3,5,2,8,1,0,0,0,,2.0,0,C,1
39,558905,5111157,F,1,1,1,0,5,4,3,5,8,5,1,1,1,0,Core staff,3.0,0,C,1
40,243850,5048458,F,1,1,1,2,5,4,3,5,9,8,1,0,0,0,,3.0,0,C,1
41,477127,5092275,F,0,1,0,9,5,2,3,5,5,0,1,1,1,0,Laborers,2.0,0,C,1
42,443277,5090131,F,1,1,0,7,3,4,3,5,8,8,1,1,1,0,Sales staff,2.0,-13,0,1
43,341456,5065444,F,1,0,2,8,5,2,3,0,6,3,1,0,0,0,Managers,4.0,0,0,1
44,415034,5087881,F,0,0,0,7,5,4,3,5,1,1,1,0,0,1,Core staff,2.0,-36,C,1
45,215872,5045654,F,1,1,0,4,5,2,3,5,5,3,1,0,1,0,,2.0,0,1,0
46,564843,5112850,F,1,1,0,5,5,2,3,5,7,4,1,0,0,1,Managers,2.0,0,0,1
47,299733,5058365,F,0,1,0,1,3,2,2,5,1,8,1,0,0,0,,1.0,0,X,1
48,302241,5058521,F,0,1,0,9,3,2,3,0,5,2,1,1,1,0,Laborers,2.0,-35,X,1
49,327887,5062211,F,0,1,0,1,3,4,3,5,3,5,1,1,1,0,,2.0,0,0,1
50,44212,5021462,F,1,0,1,7,5,4,3,5,8,6,1,0,0,0,Core staff,3.0,0,0,1
51,670219,5132564,F,0,1,1,1,3,2,3,5,5,5,1,0,1,0,Sales staff,3.0,-14,X,1
52,271362,5053466,M,0,1,0,1,5,2,3,5,3,3,1,1,1,0,Low-skill Laborers,2.0,-37,0,1
53,35232,5010892,F,0,1,0,4,3,2,3,5,0,8,1,0,0,1,,2.0,0,C,1
54,617526,5116999,F,0,1,0,1,3,2,3,5,1,8,1,0,0,1,,2.0,0,C,1
55,435069,5089674,F,1,0,2,0,5,2,3,5,6,1,1,1,1,0,High skill tech staff,4.0,0,C,1
56,565257,5112881,F,0,1,0,5,3,2,3,5,1,8,1,0,0,1,,2.0,0,0,1
57,492819,5095637,F,0,0,0,2,3,4,1,1,9,7,1,1,0,1,Sales staff,1.0,-9,0,1
58,98150,5024635,F,0,1,0,4,5,2,3,5,2,5,1,0,0,0,,2.0,0,C,1
59,491901,5095562,F,0,0,1,9,5,2,2,5,4,4,1,1,0,0,Managers,2.0,-49,C,1
60,370075,5067699,M,1,1,0,9,5,4,3,5,2,1,1,0,1,0,Managers,2.0,0,0,1
61,744919,5148828,F,0,1,1,7,5,2,3,5,5,2,1,1,1,0,Sales staff,3.0,-30,X,1
62,700192,5139950,F,1,1,0,2,5,2,3,5,2,2,1,1,0,0,,2.0,0,C,1
63,572554,5113403,M,1,1,0,9,3,4,1,5,8,7,1,0,0,1,Sales staff,1.0,-2,C,1
64,245334,5048554,M,1,1,1,9,5,4,3,5,8,3,1,0,0,0,High skill tech staff,3.0,-12,C,1
65,537394,5105011,M,1,1,1,6,5,2,3,1,3,5,1,0,0,0,Laborers,3.0,0,C,1
66,527915,5100222,F,0,1,0,4,3,4,3,5,3,0,1,0,0,0,,2.0,0,X,1
67,678260,5135710,F,0,1,0,0,3,2,1,5,0,8,1,0,1,0,,1.0,0,X,1
68,279357,5053922,M,0,0,1,6,5,1,3,5,5,6,1,1,1,0,Drivers,3.0,0,X,1
69,189268,5041212,F,0,1,0,5,5,4,2,5,0,3,1,0,0,0,Secretaries,1.0,0,C,1
70,673937,5135450,F,0,1,1,7,5,2,3,0,9,8,1,0,0,0,Cleaning staff,3.0,0,0,1
71,683922,5136908,M,0,0,1,9,5,2,3,5,5,2,1,1,0,1,Managers,3.0,-4,0,1
72,464849,5091529,F,0,1,1,6,5,4,3,5,7,3,1,0,0,0,Core staff,3.0,0,C,1
73,416353,5088193,F,1,0,0,0,3,4,2,5,0,8,1,0,0,0,,1.0,-19,C,1
74,745803,5148866,F,0,1,0,2,3,4,3,5,1,8,1,0,0,0,,2.0,0,X,1
75,652455,5125917,F,0,0,0,4,5,4,3,5,8,2,1,0,0,0,Sales staff,2.0,0,C,1
76,438463,5089856,F,0,1,0,6,3,2,2,5,0,8,1,0,0,0,,1.0,-15,C,1
77,278696,5053891,F,0,1,0,0,5,2,2,5,6,7,1,0,0,0,,1.0,0,0,1
78,298885,5112601,F,0,1,0,1,5,2,3,5,0,0,1,1,1,0,Managers,2.0,0,1,0
79,41610,5021309,M,0,1,0,8,5,2,3,5,4,7,1,0,0,0,Laborers,2.0,0,0,1
80,123730,5028875,M,0,0,3,2,5,2,3,0,7,5,1,0,0,1,,5.0,-14,C,1
81,588840,5114508,M,0,0,2,5,5,2,3,5,9,3,1,0,0,1,Laborers,4.0,0,C,1
82,446888,5090289,F,1,1,1,8,3,2,3,5,1,8,1,0,1,0,,3.0,0,C,1
83,701050,5140070,F,0,1,0,9,3,4,3,5,4,6,1,0,0,0,,2.0,0,0,1
84,142758,5033549,M,1,0,2,4,5,2,3,5,7,4,1,0,0,0,,4.0,-19,X,1
85,65695,5090617,M,1,1,2,4,5,2,3,5,5,6,1,0,0,0,Drivers,4.0,0,0,1
86,145410,5033693,F,1,1,0,5,5,2,1,5,2,5,1,0,0,0,Laborers,1.0,0,0,1
87,335433,5062548,F,0,1,3,7,3,3,3,5,7,3,1,0,0,1,,5.0,0,C,1
88,590874,5115397,M,0,1,2,5,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
89,85797,5023928,F,0,1,0,4,3,4,3,1,7,4,1,0,0,0,Cooking staff,2.0,0,C,1
90,667983,5126840,F,0,0,0,4,3,4,1,1,8,5,1,0,0,0,,1.0,0,C,1
91,555428,5106041,M,1,0,2,8,5,2,3,5,5,2,1,0,0,0,Core staff,4.0,0,C,1
92,39899,5021208,M,1,1,1,7,5,2,3,5,6,5,1,0,0,0,Drivers,3.0,-16,X,1
93,709314,5142501,M,0,0,0,4,5,2,3,5,5,6,1,0,0,0,,2.0,0,C,1
94,741869,5148651,F,1,1,1,6,3,2,3,5,5,3,1,0,0,0,Laborers,3.0,0,C,1
95,102838,5024887,F,0,0,1,5,5,2,1,5,9,7,1,0,0,0,Sales staff,2.0,0,C,1
96,69950,5022952,M,1,1,0,1,5,2,3,5,3,7,1,1,0,0,,2.0,0,C,1
97,2368,5008959,F,1,1,0,2,5,2,3,5,3,4,1,0,0,0,Laborers,2.0,0,C,1
98,471864,5091931,M,0,1,0,2,3,2,3,5,1,8,1,0,1,0,,2.0,0,0,1
99,164631,5146086,M,0,0,0,4,5,2,1,4,6,5,1,0,0,1,Laborers,1.0,0,C,1
100,152009,5079024,F,0,1,0,2,3,1,3,5,0,8,1,0,0,0,,2.0,0,C,1
101,336288,5062585,M,0,0,1,5,5,2,3,5,9,7,1,1,1,1,Drivers,3.0,0,0,1
102,727820,5143487,M,0,1,1,4,3,2,3,5,7,5,1,0,0,0,Drivers,3.0,0,C,1
103,107536,5025188,M,1,1,0,4,5,2,1,4,6,3,1,0,0,0,Drivers,1.0,-25,C,1
104,155243,5035739,F,1,1,0,1,5,4,2,5,3,0,1,1,1,0,Core staff,1.0,0,C,1
105,80852,5023623,F,0,0,2,5,3,3,3,5,6,2,1,0,1,0,Sales staff,4.0,0,C,1
106,66985,5022797,F,1,1,0,6,5,4,2,5,7,5,1,0,0,0,Managers,1.0,0,C,1
107,197414,5097051,F,1,1,0,0,5,2,3,5,6,6,1,1,0,0,Core staff,2.0,0,C,1
108,386513,5068682,M,0,1,0,4,5,2,1,5,8,6,1,0,0,0,Laborers,1.0,0,0,1
109,86859,5023988,M,0,1,0,9,3,4,3,5,1,2,1,0,0,0,Laborers,2.0,0,C,1
110,472163,5091957,F,0,1,0,2,3,2,3,5,5,7,1,0,0,0,Laborers,2.0,0,C,1
111,403255,5079007,M,0,1,0,6,3,4,3,4,1,6,1,0,0,0,,2.0,0,X,1
112,432936,5089557,F,1,0,0,4,5,3,1,5,8,2,1,1,0,0,Managers,1.0,-48,X,1
113,162967,5036722,F,0,1,0,0,3,2,3,5,0,8,1,0,0,0,,2.0,-8,C,1
114,768787,5010868,M,1,1,1,9,3,2,3,5,3,6,1,0,1,1,Core staff,3.0,0,5,0
115,108202,5025253,M,0,1,0,2,3,4,3,5,0,8,1,0,0,0,,2.0,0,X,1
116,426916,5089235,F,0,0,0,8,5,2,2,5,2,0,1,0,1,1,Medicine staff,1.0,-10,C,1
117,344721,5065675,F,0,0,0,2,5,2,1,5,8,1,1,0,0,0,,1.0,0,1,0
118,554015,5105967,F,1,0,1,7,3,4,3,0,9,6,1,0,1,1,Accountants,3.0,-16,C,1
119,660206,5126370,F,0,0,0,2,5,2,3,5,6,4,1,1,0,0,High skill tech staff,2.0,-1,X,1
120,307248,5061237,F,0,1,0,5,3,4,3,5,1,8,1,0,0,0,,2.0,0,C,1
121,527747,5100214,M,1,1,0,2,3,4,3,5,5,3,1,0,0,0,Drivers,2.0,-19,C,1
122,452197,5090632,F,1,1,0,8,3,3,3,5,7,4,1,0,0,1,Sales staff,2.0,0,0,1
123,434759,5089658,F,0,0,0,1,3,2,1,5,4,7,1,1,0,0,Core staff,1.0,0,C,1
124,125095,5028945,M,0,1,0,6,3,2,3,5,5,0,1,0,0,0,,2.0,0,C,1
125,47894,5021681,M,0,1,0,6,3,2,2,5,2,1,1,0,0,0,Cleaning staff,1.0,-12,X,1
126,270162,5053383,M,1,1,2,7,5,3,3,5,6,6,1,0,0,0,Drivers,4.0,-15,0,1
127,148707,5033853,F,0,1,0,0,5,2,3,5,3,8,1,0,0,0,High skill tech staff,2.0,-1,0,1
128,601865,5116039,F,1,1,0,7,3,4,3,5,4,7,1,0,1,0,High skill tech staff,2.0,0,C,1
129,750389,5149162,M,1,1,0,7,5,2,3,5,8,2,1,1,0,0,Laborers,2.0,-14,C,1
130,671477,5132777,M,0,1,2,2,3,2,3,5,7,7,1,1,1,0,Laborers,4.0,0,C,1
131,626716,5117695,F,0,0,0,8,5,2,2,5,0,1,1,0,0,0,,1.0,-31,X,1
132,473656,5092031,F,0,1,2,9,5,2,2,5,5,1,1,0,0,0,Medicine staff,3.0,0,X,1
133,174773,5037116,M,1,0,2,8,3,4,3,5,7,2,1,0,1,0,Core staff,4.0,-20,X,1
134,623754,5117417,F,1,0,0,1,5,2,3,5,4,2,1,0,0,0,Sales staff,2.0,0,0,1
135,82278,5023705,F,0,1,0,5,5,2,3,5,3,0,1,0,1,0,Laborers,2.0,-49,0,1
136,214642,5045588,F,1,1,0,4,5,2,3,5,5,8,1,0,0,0,,2.0,-24,0,1
137,588139,5114481,F,0,1,0,0,3,2,1,5,0,8,1,0,0,0,,1.0,0,C,1
138,135129,5029512,F,0,0,0,1,3,2,3,5,3,6,1,0,0,0,,2.0,0,C,1
139,250901,5050735,F,0,0,0,2,3,4,2,5,8,1,1,0,1,1,HR staff,1.0,-8,X,1
140,503170,5096397,F,0,0,0,1,5,2,3,4,6,5,1,1,0,0,Core staff,2.0,0,0,1
141,70025,5022955,M,1,1,0,1,5,2,3,5,3,7,1,1,0,0,,2.0,0,C,1
142,688854,5137173,F,0,0,0,7,5,2,3,5,2,1,1,1,1,0,Sales staff,2.0,0,C,1
143,633753,5118275,F,0,0,0,1,3,2,3,4,1,8,1,0,0,0,,2.0,0,C,1
144,514556,5099747,F,0,1,1,2,5,2,3,5,9,2,1,1,1,0,Laborers,3.0,0,C,1
145,631830,5118125,M,1,0,0,5,5,2,3,5,8,3,1,0,0,0,,2.0,0,C,1
146,658037,5126259,F,0,0,2,0,3,2,3,5,7,3,1,1,0,0,Sales staff,4.0,0,C,1
147,24164,5010243,M,1,1,0,7,5,2,3,5,2,6,1,0,0,0,Laborers,2.0,-4,X,1
148,518725,5099977,F,0,0,0,5,5,2,3,5,9,4,1,0,1,0,Security staff,2.0,0,0,1
149,769293,5023642,M,1,0,2,7,5,2,3,5,5,3,1,0,0,0,Drivers,4.0,0,0,1
150,114923,5028385,M,1,0,0,9,5,2,1,0,8,2,1,0,0,0,Core staff,1.0,-13,C,1
151,129031,5029151,F,0,0,0,0,5,2,3,5,3,0,1,1,1,0,Laborers,2.0,0,0,1
152,30300,5010599,F,0,1,2,0,5,4,3,5,7,1,1,0,0,0,Drivers,4.0,0,0,1
153,759827,5149697,F,0,0,0,4,5,3,3,0,6,0,1,0,0,0,Core staff,2.0,0,C,1
154,679523,5135783,F,0,1,0,2,5,2,3,5,0,3,1,0,1,0,Accountants,2.0,0,C,1
155,732554,5145888,F,0,1,0,0,3,2,3,5,0,8,1,0,0,0,,2.0,0,C,1
156,213777,5045539,M,1,0,2,7,5,4,3,0,8,5,1,0,0,0,High skill tech staff,4.0,-38,0,1
157,201976,5042016,M,1,0,0,5,5,2,3,5,9,8,1,0,1,0,Drivers,2.0,0,C,1
158,139712,5029789,F,0,1,0,1,5,2,3,5,1,6,1,0,0,0,Medicine staff,2.0,-13,C,1
159,221332,5046003,F,0,1,1,7,5,2,1,5,5,2,1,0,1,0,Private service staff,2.0,0,C,1
160,645347,5125487,M,1,0,1,2,5,4,3,5,7,6,1,0,0,0,Laborers,3.0,0,C,1
161,354965,5066888,M,1,1,2,0,5,2,3,5,6,2,1,0,0,0,,4.0,0,0,1
162,313778,5061531,F,0,1,1,6,5,2,3,5,6,1,1,0,0,0,,3.0,0,X,1
163,45187,5021522,F,0,0,0,6,5,4,3,5,2,1,1,0,0,1,Core staff,2.0,-20,C,1
164,551496,5105814,F,0,0,0,6,3,2,3,5,2,8,1,0,1,0,,2.0,0,0,1
165,281484,5054041,F,0,0,1,0,5,2,3,5,6,5,1,0,1,0,Cooking staff,3.0,-27,X,1
166,500193,5096185,F,0,0,0,4,5,2,3,5,5,3,1,1,0,0,Security staff,2.0,0,C,1
167,207461,5044621,F,1,0,1,2,3,4,1,5,9,4,1,0,0,0,Accountants,2.0,-36,X,1
168,695535,5137533,M,0,0,0,2,5,2,3,5,5,2,1,1,0,0,Drivers,2.0,-1,C,1
169,436722,5089753,M,0,0,1,1,5,2,1,5,3,1,1,0,0,0,Laborers,2.0,0,0,1
170,452889,5090707,F,1,1,0,8,5,4,1,5,7,8,1,0,0,1,Accountants,1.0,0,0,1
171,694125,5137454,M,0,0,0,2,3,2,3,5,2,8,1,0,0,0,,2.0,0,C,1
172,461954,5091369,M,1,1,0,7,5,2,3,5,5,5,1,1,1,0,Drivers,2.0,-18,C,1
173,755369,5149450,M,1,1,0,7,5,4,3,0,7,3,1,0,0,0,Laborers,2.0,0,C,1
174,338358,5062697,F,0,1,1,4,5,2,3,5,5,1,1,0,0,0,Core staff,3.0,-14,0,1
175,460019,5091244,F,1,0,0,1,5,2,3,5,4,5,1,0,0,0,Medicine staff,2.0,-6,0,1
176,99275,5024692,M,0,1,0,2,5,2,3,0,5,0,1,0,1,0,Laborers,2.0,0,C,1
177,137692,5029665,F,0,0,0,0,5,2,3,5,3,3,1,0,0,0,Laborers,2.0,0,C,1
178,184841,5038794,F,0,1,0,4,3,2,3,5,0,8,1,0,0,0,,2.0,0,X,1
179,157750,5036408,F,1,1,0,1,5,2,3,5,6,5,1,0,0,0,Cooking staff,2.0,0,0,1
180,422460,5089005,F,1,0,0,1,5,2,3,5,2,2,1,0,1,0,,2.0,0,0,1
181,251390,5050766,F,0,0,2,9,5,2,3,5,8,3,1,0,0,0,Core staff,4.0,0,0,1
182,514905,5099764,F,0,1,1,2,5,2,3,5,9,2,1,1,1,0,Laborers,3.0,0,C,1
183,658367,5126286,M,0,0,0,7,5,2,3,5,1,0,1,1,0,0,Laborers,2.0,0,C,1
184,199264,5041854,M,1,0,0,1,3,2,3,5,1,8,1,0,1,0,,2.0,-36,0,1
185,71703,5023040,F,0,0,0,0,3,2,2,5,1,8,1,0,0,0,,1.0,0,0,1
186,607594,5116382,F,0,1,1,2,5,4,3,5,9,5,1,1,0,0,Core staff,3.0,0,0,1
187,216859,5045724,M,0,0,1,6,3,4,2,5,8,5,1,0,0,0,Laborers,2.0,-27,X,1
188,189587,5041259,F,0,1,0,4,3,2,3,5,0,8,1,0,0,0,,2.0,0,X,1
189,372055,5067803,F,0,1,0,2,3,4,1,5,2,8,1,0,1,0,,1.0,-6,X,1
190,753342,5149336,F,1,1,0,8,3,4,1,5,4,0,1,0,0,0,High skill tech staff,1.0,0,C,1
191,51228,5021873,M,1,0,0,5,5,2,1,1,9,8,1,0,0,0,Laborers,1.0,0,0,1
192,725942,5143378,M,1,1,0,1,5,2,3,5,3,5,1,0,0,0,,2.0,0,0,1
193,416829,5088240,F,0,1,0,6,3,2,2,5,1,8,1,0,0,0,,1.0,-13,X,1
194,107013,5025141,F,0,1,1,8,5,4,1,5,6,5,1,0,1,0,Laborers,2.0,-17,X,1
195,391914,5069031,F,0,1,0,4,3,2,3,5,4,5,1,0,0,1,Sales staff,2.0,0,C,1
196,219779,5045903,F,0,0,0,0,3,2,1,4,9,7,1,0,0,0,High skill tech staff,1.0,0,C,1
197,15301,5009716,M,0,0,0,5,5,2,1,5,9,4,1,1,1,0,,1.0,0,0,1
198,7606,5009281,F,0,0,0,2,5,2,3,5,5,1,1,0,1,0,Cleaning staff,2.0,0,X,1
199,164454,5036793,F,0,1,0,7,3,2,3,5,0,8,1,0,0,0,,2.0,0,C,1
200,660495,5126385,M,1,0,0,5,5,4,3,5,8,2,1,1,0,1,Managers,2.0,0,C,1
201,345625,5065732,F,1,1,0,4,3,4,3,5,1,8,1,0,0,0,,2.0,0,0,1
202,486728,5095226,M,1,1,2,5,5,2,3,5,4,5,1,0,0,0,Drivers,4.0,0,X,1
203,15206,5009709,F,0,0,0,4,5,4,3,5,8,7,1,0,0,0,Managers,2.0,0,X,1
204,525845,5100153,F,1,0,0,4,5,2,2,5,5,5,1,0,0,0,HR staff,1.0,0,0,1
205,10843,5009481,F,0,0,0,5,3,4,3,5,6,1,1,0,1,0,,2.0,0,0,1
206,442742,5113673,F,0,1,0,4,3,2,3,5,2,8,1,0,0,0,,2.0,0,X,1
207,58447,5022292,F,0,0,1,4,5,2,3,5,5,2,1,0,0,0,Cooking staff,3.0,0,X,1
208,670296,5132580,F,0,1,0,2,5,2,2,5,3,3,1,1,1,0,,1.0,-31,X,1
209,372869,5067868,F,0,1,0,4,5,2,3,5,2,0,1,0,0,0,Medicine staff,2.0,0,0,1
210,222116,5046043,F,0,1,0,3,5,4,3,5,3,0,1,0,0,0,Managers,2.0,0,C,1
211,584657,5114215,M,1,0,2,7,5,2,3,5,6,3,1,1,0,0,Managers,4.0,-24,C,1
212,207311,5044536,F,0,1,0,2,3,2,3,5,0,8,1,0,1,0,,2.0,0,C,1
213,135831,5029558,F,0,1,0,1,3,2,2,5,0,8,1,0,0,0,,1.0,0,0,1
214,702186,5142113,M,1,1,1,7,3,2,1,5,5,0,1,1,0,0,Laborers,2.0,-6,C,1
215,424944,5089142,F,1,0,0,6,3,2,3,0,6,1,1,0,1,0,,2.0,-38,X,1
216,643772,5125374,F,0,1,0,6,3,2,2,5,1,8,1,0,0,0,,1.0,0,C,1
217,387889,5068774,F,0,0,0,2,5,3,3,5,4,3,1,0,0,0,Core staff,2.0,0,0,1
218,119785,5028661,F,0,1,0,4,5,2,3,5,3,1,1,0,0,0,,2.0,-23,X,1
219,580303,5113923,F,0,0,0,0,3,2,1,4,0,8,1,0,0,0,,1.0,0,0,1
220,445965,5090231,M,1,0,0,7,5,4,3,5,7,6,1,0,1,0,,2.0,0,X,1
221,278013,5053855,M,1,1,2,2,5,2,3,5,8,6,1,0,0,0,Laborers,4.0,0,C,1
222,711672,5142639,F,0,0,0,5,5,2,3,5,3,2,1,1,1,0,Core staff,2.0,0,C,1
223,202981,5042074,F,1,0,2,8,5,4,3,5,4,0,1,1,1,0,,4.0,0,C,1
224,368102,5067584,M,1,1,0,7,3,2,3,5,3,7,1,1,0,0,Drivers,2.0,0,X,1
225,127528,5029078,F,0,1,1,2,5,3,2,5,9,7,1,0,0,0,Sales staff,2.0,0,C,1
226,188825,5041157,F,0,1,0,2,3,2,3,5,2,8,1,0,0,0,,2.0,-10,C,1
227,139222,5029759,F,0,1,0,7,5,4,3,5,2,2,1,0,0,0,Managers,2.0,-36,X,1
228,646535,5125563,M,1,0,0,4,5,2,3,5,9,2,1,1,0,0,,2.0,-38,X,1
229,457228,5091094,M,0,1,0,6,3,4,3,5,0,8,1,0,0,0,,2.0,-38,C,1
230,460056,5091245,F,1,0,0,1,5,2,3,5,4,5,1,0,0,0,Medicine staff,2.0,0,0,1
231,148965,5033866,F,0,1,0,4,5,2,3,5,3,7,1,0,0,0,Laborers,2.0,0,0,1
232,328654,5062241,F,1,0,0,8,5,2,3,5,2,1,1,0,0,0,Managers,2.0,0,C,1
233,54402,5022074,F,0,1,0,0,5,2,3,5,2,5,1,1,0,0,Sales staff,2.0,0,X,1
234,319582,5061800,F,0,1,0,7,3,2,2,5,1,6,1,0,0,0,Cleaning staff,1.0,0,C,1
235,250305,5050679,M,1,0,0,2,3,2,3,0,9,7,1,1,0,1,Sales staff,2.0,0,C,1
236,687602,5137106,F,1,0,0,9,5,2,3,5,3,8,1,1,1,0,Medicine staff,2.0,-10,C,1
237,174823,5037121,F,0,1,0,5,3,2,3,5,0,8,1,0,1,0,,2.0,-7,0,1
238,99159,5024686,M,0,1,0,2,5,2,3,0,5,0,1,0,1,0,Laborers,2.0,0,C,1
239,113673,5028305,M,1,1,0,9,3,3,3,5,2,7,1,0,0,0,Managers,2.0,0,C,1
240,178143,5037223,M,1,0,1,8,5,2,3,4,9,6,1,1,1,0,Laborers,3.0,0,0,1
241,122022,5028784,F,0,1,0,2,5,2,3,5,4,2,1,0,0,0,,2.0,0,0,1
242,513903,5097166,F,0,1,0,5,5,2,3,0,5,5,1,0,0,0,Sales staff,2.0,0,0,1
243,177027,5145949,F,0,1,1,9,3,4,1,5,5,7,1,0,0,0,Accountants,2.0,-26,X,1
244,723284,5143243,F,0,0,0,2,5,4,2,0,2,4,1,1,0,0,IT staff,1.0,0,C,1
245,638862,5118591,F,0,1,0,7,5,2,3,5,4,0,1,0,1,0,,2.0,0,C,1
246,708623,5142467,M,0,1,1,2,3,2,3,5,4,1,1,0,0,0,Laborers,3.0,0,C,1
247,421489,5088953,F,0,0,0,9,3,2,3,5,3,4,1,0,0,0,Managers,2.0,0,C,1
248,33351,5010801,F,0,1,0,8,5,2,3,4,5,6,1,0,0,1,Security staff,2.0,0,C,1
249,660668,5126407,F,0,0,0,4,3,2,3,5,1,8,1,0,1,0,,2.0,0,0,1
250,285282,5054247,M,1,0,2,4,3,2,3,5,3,1,1,1,1,0,Sales staff,4.0,-15,0,1
251,253423,5050951,F,0,0,0,2,3,4,3,5,7,1,1,1,1,1,Core staff,2.0,0,C,1
252,413276,5087501,F,1,1,0,4,3,4,3,5,5,6,1,1,1,0,Managers,2.0,-16,X,1
